ID,GateID,BuildID,LocationID,RefreshWeight,buffID,RefreshCount,TotalCount,RefreshTime,AnimationName
ID,关卡,建筑ID,位置ID,刷新权重,对应Buff,刷新数量,总数量,刷新间隔,动画名称
1,1110,1110051,111005,50,5,1,2,20,fla_buffC
2,1120,1120041,112004,50,3,1,2,20,fla_buffB
3,1120,1120042,112004,50,5,1,2,20,fla_buffD
4,1120,1120061,112006,50,3,1,2,20,fla_buffB
5,1120,1120062,112006,50,5,1,2,20,fla_buffD
6,1120,1120091,112009,50,3,1,2,20,fla_buffB
7,1120,1120092,112009,50,5,1,2,20,fla_buffD
8,1120,1120111,112011,50,3,1,2,20,fla_buffB
9,1120,1120112,112011,50,5,1,2,20,fla_buffD
10,1140,1140051,114005,50,3,1,2,20,fla_buffB
11,1140,1140052,114005,50,5,1,2,20,fla_buffD
12,1140,1140091,114009,50,3,1,2,20,fla_buffB
13,1140,1140092,114009,50,5,1,2,20,fla_buffD
14,2030,2030091,203009,50,1,1,2,20,fla_buffA
15,2030,2030092,203009,50,3,1,2,20,fla_buffB
16,2030,2030093,203009,50,5,1,2,20,fla_buffD
17,2030,2030101,203010,50,1,1,2,20,fla_buffA
18,2030,2030102,203010,50,3,1,2,20,fla_buffB
19,2030,2030103,203010,50,5,1,2,20,fla_buffD
20,2130,2060151,206015,50,1,1,2,20,fla_buffA
21,2130,2060152,206015,50,3,1,2,20,fla_buffB
22,2130,2060153,206015,50,5,1,2,20,fla_buffD
23,2070,2070171,207017,50,1,1,2,20,fla_buffA
24,2070,2070172,207017,50,3,1,2,20,fla_buffB
25,2070,2070173,207017,50,5,1,2,20,fla_buffD
26,2070,2070181,207018,50,1,1,2,20,fla_buffA
27,2070,2070182,207018,50,3,1,2,20,fla_buffB
28,2070,2070183,207018,50,5,1,2,20,fla_buffD
29,2080,2080111,208011,50,1,1,2,20,fla_buffA
30,2080,2080112,208011,50,3,1,2,20,fla_buffB
31,2080,2080113,208011,50,5,1,2,20,fla_buffD
32,2050,2090131,209013,50,1,1,2,20,fla_buffA
33,2050,2090132,209013,50,3,1,2,20,fla_buffB
34,2050,2090133,209013,50,5,1,2,20,fla_buffD
35,2050,2090141,209014,50,1,1,2,20,fla_buffA
36,2050,2090142,209014,50,3,1,2,20,fla_buffB
37,2050,2090143,209014,50,5,1,2,20,fla_buffD
38,2110,2110051,211005,50,1,1,2,20,fla_buffA
39,2110,2110052,211005,50,3,1,2,20,fla_buffB
40,2110,2110053,211005,50,5,1,2,20,fla_buffD
41,2110,2110131,211013,50,1,1,2,20,fla_buffA
42,2110,2110132,211013,50,3,1,2,20,fla_buffB
43,2110,2110133,211013,50,5,1,2,20,fla_buffD
44,2060,2130021,213002,50,1,1,2,20,fla_buffA
45,2060,2130022,213002,50,3,1,2,20,fla_buffB
46,2060,2130023,213002,50,4,1,2,20,fla_buffD
47,2060,2130091,213009,50,1,1,2,20,fla_buffA
48,2060,2130092,213009,50,3,1,2,20,fla_buffB
49,2060,2130093,213009,50,4,1,2,20,fla_buffD
50,2060,2130111,213011,50,1,1,2,20,fla_buffA
51,2060,2130112,213011,50,3,1,2,20,fla_buffB
52,2060,2130113,213011,50,4,1,2,20,fla_buffD
53,2060,2130181,213018,50,1,1,2,20,fla_buffA
54,2060,2130182,213018,50,3,1,2,20,fla_buffB
55,2060,2130183,213018,50,4,1,2,20,fla_buffD
56,2150,2150131,215013,50,1,1,2,20,fla_buffA
57,2150,2150132,215013,50,3,1,2,20,fla_buffB
58,2150,2150133,215013,50,4,1,2,20,fla_buffD
59,2150,2150141,215014,50,1,1,2,20,fla_buffA
60,2150,2150142,215014,50,3,1,2,20,fla_buffB
61,2150,2150143,215014,50,4,1,2,20,fla_buffD
62,2151,2151131,215113,50,1,1,2,20,fla_buffA
63,2151,2151132,215113,50,3,1,2,20,fla_buffB
64,2151,2151133,215113,50,4,1,2,20,fla_buffD
65,2151,2151141,215114,50,1,1,2,20,fla_buffA
66,2151,2151142,215114,50,3,1,2,20,fla_buffB
67,2151,2151143,215114,50,4,1,2,20,fla_buffD
68,2152,2152131,215213,50,1,1,2,20,fla_buffA
69,2152,2152132,215213,50,3,1,2,20,fla_buffB
70,2152,2152133,215213,50,4,1,2,20,fla_buffD
71,2152,2152141,215214,50,1,1,2,20,fla_buffA
72,2152,2152142,215214,50,3,1,2,20,fla_buffB
73,2152,2152143,215214,50,4,1,2,20,fla_buffD
74,10201,9021111,902111,50,5,1,2,12,fla_buffD
75,10201,9021112,902111,50,3,1,2,12,fla_buffB
76,10201,9021113,902111,50,4,1,2,12,fla_buffD
77,10201,9021121,902112,50,5,1,2,12,fla_buffD
78,10201,9021122,902112,50,3,1,2,12,fla_buffB
79,10201,9021123,902112,50,4,1,2,12,fla_buffD
80,2051,2091131,209113,50,1,1,2,20,fla_buffA
81,2051,2091132,209113,50,3,1,2,20,fla_buffB
82,2051,2091133,209113,50,5,1,2,20,fla_buffD
83,2051,2091141,209114,50,1,1,2,20,fla_buffA
84,2051,2091142,209114,50,3,1,2,20,fla_buffB
85,2051,2091143,209114,50,5,1,2,20,fla_buffD
86,10301,9031131,903113,50,5,1,2,20,fla_buffD
87,10301,9031132,903113,50,3,1,2,20,fla_buffB
88,10301,9031133,903113,50,4,1,2,20,fla_buffD
89,10301,9031141,903114,50,5,1,2,20,fla_buffD
90,10301,9031142,903114,50,3,1,2,20,fla_buffB
91,10301,9031143,903114,50,4,1,2,20,fla_buffD
92,10401,9041161,904116,50,5,1,2,20,fla_buffD
93,10401,9041162,904116,50,3,1,2,20,fla_buffB
94,10401,9041163,904116,50,4,1,2,20,fla_buffD
95,10401,9041171,904117,50,5,1,2,20,fla_buffD
96,10401,9041172,904117,50,3,1,2,20,fla_buffB
97,10401,9041173,904117,50,4,1,2,20,fla_buffD
