Id,Name,Quality,Icon,Portrait,Animation,Demo,PieceId,ActiveSkills,PassiveSkills,PieceIcon,Show,Output,OutputDes,Description
Id,名字,品质,图标文件,肖像文件,动画文件,Null,碎片Id,主动技能,被动技能,碎片文件,是否显示（1显示，1不显示）,"跳转碎片产出界面（1:PVP, 2：抽卡，3：商城 。。。）",碎片产出说明,说明
101001,水精灵,1,ui/Icon2/asst_water_icon.png,assistant/portrait/asst_water_portrait.png,assistant/animation/fla_shuijl,Null,70001,102001,0,ui/AsstPiece/p_asst_water_icon.png,1,2,(该碎片可以通过神将召唤、竞技场宝箱获得),
102001,火精灵,2,ui/Icon2/asst_fire_icon.png,assistant/portrait/asst_fire_portrait.png,assistant/animation/fla_huoyan,Null,70002,101001,0,ui/AsstPiece/p_asst_fire_icon.png,1,2,(该碎片可以通过神将召唤、竞技场宝箱等获得),
102002,地精工程师,2,ui/Icon2/asst_glinb_icon.png,assistant/portrait/asst_glinb_portrait.png,assistant/animation/fla_gebulin,Null,70003,100001,0,ui/AsstPiece/p_asst_glinb_icon.png,1,2,(该碎片可以通过神将召唤、竞技场宝箱获得),
103001,猫头鹰,3,ui/Icon2/asst_owl_icon.png,assistant/portrait/asst_owl_portrait.png,assistant/animation/fla_maotouying,Null,70004,103001,0,ui/AsstPiece/p_asst_owl_icon.png,1,2,(该碎片可以通过神将召唤、特惠商店获得),
104001,石头人,3,ui/Icon2/asst_golem_icon.png,assistant/portrait/asst_golem_portrait.png,assistant/animation/fla_shitouren,Null,70005,104001,0,ui/AsstPiece/p_asst_golem_icon.png,1,2,(该碎片可以通过神将召唤、竞技场宝箱等获得),
105001,机器人,3,ui/Icon2/asst_robot_icon.png,assistant/portrait/asst_robot_portrait.png,assistant/animation/fla_jiqiren,Null,70006,105001,0,ui/AsstPiece/p_asst_robot_icon.png,1,2,(该碎片可以通过神将召唤、竞技场宝箱等获得),
106001,幽灵,3,ui/Icon2/asst_ghost_icon.png,assistant/portrait/asst_ghost_portrait.png,assistant/animation/fla_youling,Null,70007,106001,0,ui/AsstPiece/p_asst_ghost_icon.png,1,1,(该碎片可以通过竞技场宝箱、特惠商店获得),
107001,关羽,3,ui/Icon2/asst_guanyu_icon.png,assistant/portrait/asst_guanyu_portrait.png,assistant/animation/fla_guanyu,Null,70008,107001,0,ui/AsstPiece/p_asst_guanyu_icon.png,1,2,(该碎片可以通过神将召唤获得),
108001,貂蝉,3,ui/Icon2/asst_diaocan_icon.png,assistant/portrait/asst_diaocan_portrait.png,assistant/animation/fla_diaochan,Null,70009,108001,0,ui/AsstPiece/p_asst_diaocan_icon.png,1,2,(该碎片可以通过神将召唤、竞技场宝箱获得),
109001,吕布,3,ui/Icon2/asst_lvbu_icon.png,assistant/portrait/asst_lvbu_portrait.png,assistant/animation/fla_lvbu,Null,70010,109001,0,ui/AsstPiece/p_asst_lvbu_icon.png,1,2,(该碎片可以通过神将召唤获得),
110001,孙悟空,3,ui/Icon2/asst_sunwukong_icon.png,assistant/portrait/asst_sunwukong_portrait.png,assistant/animation/fla_sunwukong,Null,70011,110001,0,ui/AsstPiece/p_asst_sunwukong_icon.png,1,2,(该碎片可以通过神将召唤获得),
111001,哪吒,3,ui/Icon2/asst_nezha_icon.png,assistant/portrait/asst_nezha_portrait.png,assistant/animation/fla_naza,Null,70012,111001,0,ui/AsstPiece/p_asst_nezha_icon.png,1,2,(该碎片可以通过神将召唤、竞技场宝箱获得),
112001,雅典娜,3,ui/Icon2/asst_yadianna_icon.png,assistant/portrait/asst_yadianna_portrait.png,assistant/animation/fla_yadianna,Null,70013,112001,0,ui/AsstPiece/p_asst_yadianna_icon.png,1,2,(该碎片可以通过神将召唤获得),
113001,牛魔王,3,ui/Icon2/asst_niumowan_icon.png,assistant/portrait/asst_niumowan_portrait.png,assistant/animation/fla_niumowang,Null,70014,113001,0,ui/AsstPiece/p_asst_niumowan_icon.png,1,2,(该碎片可以通过神将召唤、竞技场宝箱获得),
114001,牛魔王引导,3,ui/Icon2/asst_niumowan_icon.png,assistant/portrait/asst_niumowan_portrait.png,assistant/animation/fla_niumowang,Null,70014,197001,0,ui/AsstPiece/p_asst_niumowan_icon.png,0,2,(该碎片可以通过神将召唤、竞技场宝箱获得),
115001,孙悟空引导,3,ui/Icon2/asst_sunwukong_icon.png,assistant/portrait/asst_sunwukong_portrait.png,assistant/animation/fla_sunwukong,Null,70011,198001,0,ui/AsstPiece/p_asst_sunwukong_icon.png,0,2,(该碎片可以通过神将召唤获得),
116001,关羽引导,3,ui/Icon2/asst_guanyu_icon.png,assistant/portrait/asst_guanyu_portrait.png,assistant/animation/fla_guanyu,Null,70008,199001,0,ui/AsstPiece/p_asst_guanyu_icon.png,0,2,(该碎片可以通过神将召唤获得),
