GroupID,GateID,MutexGroup,ActiveTime1,ActiveTime2
组ID,关卡ID,互斥组ID,最小触发时间,最大触发时间
1,4010,1,10,12
1,4020,1,10,12
1,4050,1,10,12
1,4060,1,10,12
1,4090,1,10,20
1,4100,1,10,20
2,4100,2,10,20
1,4110,1,10,20
2,4110,2,10,20
1,4120,1,10,20
2,4120,2,10,20
3,4120,3,10,20
4,4120,4,10,20
1,4130,1,10,20
2,4130,2,10,20
3,4130,3,10,20
1,4140,1,10,20
2,4140,2,10,20
3,4140,3,10,20
1,4150,1,10,20
2,4150,2,10,20
3,4150,3,10,20
4,4150,4,10,20
5,4150,5,10,20
6,4150,6,10,20
1,10208,1,15,20
1,10209,1,15,20
1,10305,1,15,20
1,10408,1,15,20
1,10409,1,15,20
1,10410,1,15,20
1,4160,1,10,20
2,4160,2,10,20
1,4170,1,10,20
2,4170,2,10,20
1,4200,1,10,20
2,4200,2,10,20
3,4200,3,10,20
4,4200,4,10,20
1,4210,1,10,20
2,4210,2,10,20
3,4210,3,10,20
1,4230,1,10,20
2,4230,2,10,20
1,4240,1,10,20
2,4240,2,10,20
1,4250,1,10,20
2,4250,2,10,20
3,4250,3,10,20
4,4250,4,10,20
